name,rarity,category,attunement,description
Potion of Healing,Common,Potion,FALSE,İçildiğinde 2d4+2 can yenilersin.
Potion of Climbing,Common,Potion,FALSE,1 saat boyunca tırmanma hızın yürüme hızına eşitlenir ve tırmanırken düşme riskin azalır.
Spell Scroll (Cantrip / 1. Seviye),Common,Scroll,FALSE,"Parşömeldeki büyüyü hazırlamadan, bir kereliğine atabilirsin. Kullanınca tükenir."
Rope of Mending,Common,Wondrous Item,FALSE,"Kopan bu ip, iki ucunu birbirine yaklaştırdığında kendini onarır."
Bead of Nourishment,Common,Wondrous Item,FALSE,Yutulduğunda bir günlük yiyecek ihtiyacını karşılar.
Candle of the Deep,Common,Wondrous Item,FALSE,"Su altında dahi sönmeyen, normal mumdan 6 kat uzun yanan büyülü mum."
Unbreakable Arrow,Common,Ammunition,FALSE,Vurduktan sonra asla kırılmayan büyülü ok; her atıştan sonra geri toplanabilir.
Wand of Secrets,Common,Wand,FALSE,Aktive edildiğinde 30 fit içindeki gizli kapı veya geçitlerin yönünü hissettirir.
Bag of Holding,Uncommon,Wondrous Item,FALSE,"İçi dışından çok daha büyük olan bu torba 500 lb'ye kadar eşyayı, ağırlığını hissettirmeden taşır."
Cloak of Protection,Uncommon,Wondrous Item,TRUE,Takarken Zırh Sınıfına (AC) ve tüm kurtarma atışlarına +1 bonus verir.
Ring of Protection,Uncommon,Ring,TRUE,Takarken Zırh Sınıfına (AC) ve tüm kurtarma atışlarına +1 bonus verir.
Boots of Elvenkind,Uncommon,Wondrous Item,FALSE,Bu botlarla sessizce yürürsün; hareket ederken Stealth (Gizlenme) kontrollerinde avantaj kazanırsın.
Cloak of Elvenkind,Uncommon,Wondrous Item,TRUE,Kukuletası takılıyken Stealth kontrollerinde avantaj sağlar ve seni görmeye çalışan Algı kontrollerini zorlaştırır.
Wand of Magic Missiles,Uncommon,Wand,TRUE,1d4+1 yükle gelir; her yük harcanarak Magic Missile büyüsü atılabilir. Long Rest'te 1d6+1 yük yeniler.
+1 Silah,Uncommon,Weapon,FALSE,Bu büyülü silahla yapılan vuruş ve hasar atışlarına +1 bonus eklenir.
+1 Zırh,Uncommon,Armor,FALSE,Bu zırhı giyerken Zırh Sınıfına (AC) +1 bonus eklenir.
Sentinel Shield,Uncommon,Armor,FALSE,Bu kalkanı taşırken Algı (Perception) yeteneğinde uzmanlık kazanır ve asla sürpriz saldırıya uğramazsın.
Winged Boots,Uncommon,Wondrous Item,TRUE,"Günde toplam 4 saate kadar, yürüme hızınla eşit bir Uçuş hızı kazandırır."
+2 Silah,Rare,Weapon,FALSE,Bu büyülü silahla yapılan vuruş ve hasar atışlarına +2 bonus eklenir.
+2 Zırh,Rare,Armor,FALSE,Bu zırhı giyerken Zırh Sınıfına (AC) +2 bonus eklenir.
